Date,Close,High,Low,Open,Volume
2017-01-01,67830.9921875,68154.0703125,65138.609375,65475.26171875,10040543364
2017-01-02,69615.8125,70077.484375,67720.6171875,67850.8359375,15138330026
2017-01-03,71262.4296875,71278.8203125,69606.0,69605.59375,12641326776
2017-01-04,78388.265625,78707.8125,71301.0859375,71300.6640625,23416485651
2017-01-05,68636.734375,80679.0390625,61663.08984375,78524.0390625,34556033911
2017-01-06,61430.8671875,71099.3359375,60090.51171875,68694.984375,23959236840
2017-01-07,61865.5546875,61865.5546875,56075.9296875,61518.4296875,19034560590
2017-01-08,62091.46875,64190.078125,60412.78515625,61837.63671875,10815253304
2017-01-09,61477.44140625,62251.7109375,59922.6875,62230.8203125,9661014456
2017-01-10,62009.453125,62339.4453125,61314.87890625,61451.01953125,7911597232
2017-01-11,53087.12890625,62726.48828125,52020.95703125,62039.23828125,21222986928
2017-01-12,54832.9375,56291.55859375,51427.609375,52911.08984375,15146959217
2017-01-13,56162.75,56504.70703125,53196.125,54758.19921875,11516858880
2017-01-14,55782.9609375,56919.39453125,55377.0,56241.6796875,6343194255
2017-01-15,56011.94140625,56116.60546875,55405.28515625,55764.5625,4840130746
2017-01-16,56622.890625,56827.0703125,55907.8671875,56010.921875,5635173966
2017-01-17,61648.53515625,61800.046875,56572.640625,56582.8515625,10530873496
2017-01-18,60465.484375,62355.34375,58436.33984375,61745.97265625,15390696933
2017-01-19,61218.23828125,61594.8046875,60341.4765625,60582.58203125,7192048500
2017-01-20,60906.51953125,61249.453125,60493.85546875,61156.890625,5901867620
2017-01-21,62727.7421875,63107.32421875,60941.15625,60942.109375,7564301900
2017-01-22,62949.0546875,63798.578125,61079.23046875,62756.05078125,7935951778
2017-01-23,62675.8828125,63258.63671875,62406.84765625,63005.2890625,5007785177
2017-01-24,60849.65234375,62948.046875,60822.23046875,61972.5703125,7590060045
2017-01-25,61278.26171875,61547.59375,60781.3984375,60797.64453125,8212943486
2017-01-26,62530.2734375,62693.34375,61322.8125,61336.2421875,8992475847
2017-01-27,62616.578125,62851.73046875,62442.2890625,62582.953125,8550439520
2017-01-28,62741.84765625,62899.86328125,62620.73046875,62620.73046875,4696131168
2017-01-29,62626.87109375,62866.30078125,62590.2109375,62774.32421875,4144609287
2017-01-30,62421.13671875,62591.69921875,62625.28125,62671.484375,5305445619
2017-01-31,65492.5,65601.5625,62464.78125,62460.265625,11107639180
2017-02-01,66640.3671875,66646.5,65447.42578125,65528.80859375,10114411800
2017-02-02,67992.9609375,68113.609375,66077.3671875,66706.265625,9799170662
2017-02-03,69184.203125,69672.5,67790.6875,67970.1171875,13520849650
2017-02-04,70056.8125,70258.3359375,68193.375,69279.5859375,10416424200
2017-02-05,69011.5625,70105.84375,68677.703125,70098.4609375,7671922400
2017-02-06,69742.921875,70199.8125,69066.6484375,69082.7734375,7508171160
2017-02-07,71460.6953125,71499.75,69876.609375,69876.609375,9830651849
2017-02-08,71273.5234375,72657.8359375,69838.640625,71526.0,13533369011
2017-02-09,66365.125,72635.6328125,63626.1796875,71382.8046875,27177862800
2017-02-10,66056.375,66666.921875,63362.02734375,66448.484375,12724688521
2017-02-11,67110.421875,67433.7890625,65665.921875,66071.34375,6832374419
2017-02-12,66758.3828125,67131.1328125,66607.3828125,67048.28125,4511888643
2017-02-13,66273.953125,67070.5546875,65401.89453125,66738.6015625,6730608300
2017-02-14,67113.984375,67728.1796875,66059.03125,66347.0703125,9216172260
2017-02-15,67350.0390625,67440.953125,67025.734375,67224.890625,6000415890
2017-02-16,68900.125,69287.4609375,67361.40625,67361.40625,8199895620
2017-02-17,70158.84375,70657.1796875,68779.421875,68811.609375,9151946440
2017-02-18,70709.40625,71157.3671875,70209.1328125,70360.0234375,6643869178
2017-02-19,70270.1640625,70869.6796875,69974.421875,70732.203125,5192006230
2017-02-20,72245.2578125,72279.375,69811.453125,70325.1484375,7323530810
2017-02-21,74669.3359375,74799.890625,72041.234375,72198.4375,12510879014
2017-02-22,74756.734375,75356.1171875,73648.8125,74635.859375,9105090000
2017-02-23,77802.71875,78462.90625,74758.1328125,74745.3671875,12633739990
